State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Workers,Male_Workers,Female_Workers,Agricultural_Workers,Household_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Literate_Education,Illiterate_Education,Total_Power_Parity,Literacy_Rate,Male_Literacy_Rate,Sex_Ratio,Female_Literacy_Rate,Literacy_Gender_Gap,Low_Income,Middle_Income,High_Income,Worker_Participation_Rate,Male_Worker_Participation_Rate,Female_Worker_Participation_Rate,Electrification_Rate,Internet_Access_Rate,Computer_Access_Rate,Youth_Population_Percent,Middle_Age_Population_Percent,Senior_Population_Percent,Below_Primary_Education_Rate,Literate_Education_Rate,Illiteracy_Rate
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,UTTAR PRADESH,1581810,845856,735954,1062003,623583,438420,506072,413713,92359,158026,20803,1457892,113961,1362,1045,1733,3917,113098,2964,21506,171216,292852,298700,195192,121283,118571,1211214,397708,1825,67.0,74.0,870.0700828509817,60.0,14.0,290,1053,334,32.0,49.0,13.0,7.0,0.0,1.0,62.0,23.0,15.0,11.0,77.0,25.0
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,UTTAR PRADESH,2470996,1259628,1211368,1450901,838339,612562,831209,597888,233321,272734,43505,2094271,365806,3225,1912,737,358,127754,4746,28625,356093,361114,347114,231129,176303,179996,1670696,981915,2985,59.0,67.0,961.687101271169,51.0,16.0,513,1761,508,34.0,47.0,19.0,5.0,0.0,1.0,62.0,22.0,15.0,14.0,68.0,40.0
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,UTTAR PRADESH,1885204,1006240,878964,1092677,654827,437850,592267,494545,97722,135679,43528,1596278,276846,3137,3160,3161,487,88081,2624,18733,270550,330084,257279,184298,115069,110391,1277039,710960,2058,58.0,65.0,873.5132771505804,50.0,15.0,359,1176,387,31.0,49.0,11.0,5.0,0.0,1.0,65.0,22.0,13.0,14.0,68.0,38.0
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,UTTAR PRADESH,2632733,1384722,1248011,1512166,911003,601163,1063929,713736,350193,425366,51555,2274674,350700,2201,402,172,199,75263,3385,33501,409875,463642,376472,227119,134445,116445,1738210,895178,2868,57.0,66.0,901.2718798430299,48.0,18.0,539,1673,499,40.0,52.0,28.0,3.0,0.0,1.0,62.0,23.0,15.0,16.0,66.0,34.0
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,UTTAR PRADESH,2498156,1332046,1166110,1521806,912314,609492,761521,621840,139681,150221,59942,2140745,314812,3370,1804,3395,19077,196080,5834,31797,324525,416295,368905,277163,166249,108627,1673077,672115,2940,61.0,68.0,875.4277254689403,52.0,16.0,490,1649,570,30.0,47.0,12.0,8.0,0.0,1.0,65.0,22.0,13.0,13.0,67.0,27.0
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,UTTAR PRADESH,1648115,890214,757901,1122947,666065,456882,569109,443384,125725,48845,35400,1394025,215500,7366,9261,895,4518,257586,53181,87188,201277,330623,283031,218587,194796,101645,1335017,342284,2578,68.0,75.0,851.369445998378,60.0,15.0,222,1399,663,35.0,50.0,17.0,16.0,3.0,5.0,62.0,24.0,11.0,12.0,81.0,21.0
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,UTTAR PRADESH,4681645,2488834,2192811,3123264,1811397,1311867,1520538,1231615,288923,123680,83672,3414427,1186776,19026,23001,3487,16412,695130,78116,179552,534606,858286,797473,597661,475439,255949,3545813,885070,5946,67.0,73.0,881.0595644386085,60.0,13.0,552,3432,1240,32.0,49.0,13.0,15.0,2.0,4.0,62.0,24.0,12.0,11.0,76.0,19.0
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,UTTAR PRADESH,3620268,1855075,1765193,2197549,1293553,903996,1204602,808700,395902,435934,68254,3233790,368153,4181,810,3145,213,105767,5309,50180,566504,691057,563310,449909,334003,186306,2803884,1008996,4079,61.0,70.0,951.5480506178995,51.0,19.0,702,2436,654,33.0,44.0,22.0,3.0,0.0,1.0,62.0,21.0,15.0,16.0,77.0,28.0
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,UTTAR PRADESH,3433919,1787146,1646773,1679994,1034181,645813,1170552,855848,314704,431532,65299,2739076,678615,4735,1893,649,338,104084,4313,31811,678171,425584,305644,192664,144067,118176,1873028,1620782,3614,49.0,58.0,921.454094964821,39.0,19.0,637,2165,562,34.0,48.0,19.0,3.0,0.0,1.0,65.0,21.0,14.0,20.0,55.0,47.0
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,UTTAR PRADESH,4440895,2277777,2163118,2700328,1593890,1106438,1351629,1016876,334753,454931,82965,4009037,403847,9662,2123,2848,460,296619,14597,65360,873031,618398,560246,425913,316166,273903,3103910,1453960,5455,61.0,70.0,949.6618852503999,51.0,19.0,792,3263,905,30.0,45.0,15.0,7.0,0.0,1.0,62.0,22.0,15.0,20.0,70.0,33.0
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,UTTAR PRADESH,4092845,2191442,1901403,2221601,1374587,847014,1318946,1091952,226994,406830,59649,3508131,556219,5822,5688,6671,446,95508,3845,32065,741817,906861,510507,247265,138583,103523,2657604,1481604,4209,54.0,63.0,867.6492464778898,45.0,18.0,818,2425,759,32.0,50.0,12.0,2.0,0.0,1.0,63.0,22.0,14.0,18.0,65.0,36.0
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,UTTAR PRADESH,1689974,906092,783882,1075196,653430,421766,620764,470969,149795,243035,26109,1509708,171581,1148,463,2875,256,104176,2217,18615,169207,327534,282919,167911,104699,106888,1169557,461666,1906,64.0,72.0,865.1240712863595,54.0,18.0,323,1091,357,37.0,52.0,19.0,6.0,0.0,1.0,59.0,24.0,16.0,10.0,69.0,27.0
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,UTTAR PRADESH,4494204,2220465,2273739,2731677,1565394,1166283,1437375,934157,503218,436792,88404,3981502,483750,4947,1286,7898,349,181467,8002,52398,665376,939616,769693,520111,353996,256398,3531099,1344789,5261,61.0,70.0,1023.9922718889962,51.0,19.0,845,3213,766,32.0,42.0,22.0,4.0,0.0,1.0,63.0,21.0,15.0,15.0,79.0,30.0
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,UTTAR PRADESH,1998603,1057436,941167,1304513,783705,520808,814914,565357,249557,248072,48648,1823930,147842,7050,4951,1203,7328,183340,8517,40774,184997,370685,341371,186348,99814,92586,1287584,483088,2651,65.0,74.0,890.0463006744617,55.0,19.0,350,1518,515,41.0,53.0,27.0,9.0,0.0,2.0,59.0,26.0,15.0,9.0,64.0,24.0
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,UTTAR PRADESH,1840221,963449,876772,983110,600541,382569,599089,459037,140052,131877,31600,1075440,750368,5952,5295,189,517,89329,2825,18303,251669,352835,230640,161282,164763,69522,1233732,520215,2074,53.0,62.0,910.0346774972002,44.0,18.0,340,1198,348,33.0,48.0,16.0,5.0,0.0,1.0,67.0,21.0,12.0,14.0,67.0,28.0
